site_code,name,state,lon,lat,elev,startyear,endyear,alignyear
US-Ho1,"Howland Forest Main",ME,-68.7402,45.2041,60,1996,2018,1851
US-MOz,"Missouri Ozark Site",MO,-92.2,38.7441,291.4,2004,2014,1851
US-Var,"Vaira Ranch-Ione",CA,-120.9507,38.4067,129,2000,2007,1851
FI-Hyy,"Hyytiala",FI,24.2948,61.8474,181,1996,2014,1851
BR-Sa1,"Santarem-Km67-Primary Forest",BR,-54.9589,-2.8567,88,2002,2011,1851
CA-Oas,"Saskatchewan",CAN,-106.1978,53.6289,530,1996,2010,1851
PA-SPn,"Sardinilla Plantation",PA,-79.6346,9.3181,78,2007,2009,1851
AU-Tum,"Tumbarumba",AU,148.517,-35.6566,1200,2001,2014,1851
RU-SkP,"Yakutsk Spasskaya Pad larch",RU,129.168,62.255,246,2012,2014,1851
US-Atq,"Atqasuk",US,-157.4089,70.4696,15,2003,2008,1851
AU-DaP,"Daly River Pasture",AU,131.3181,-14.0633,40,2007,2013,1851
RU-Cok,"Chokurdakh",RU,147.4943,70.8291,48,2003,2013,1851
US-SRC,"Santa Rita Creosote",US,-110.8395,31.9083,950,2008,2014,1851
ES-LJu,"Los Juncos",ES,-2.75212,36.92659,1600,2006,2013,1851
IT-Ren,"Renon",IT,11.4337,46.5869,1730,1998,2013,1851
US-Blo,"Blodgett Forest",CA,-120.6328,38.8953,1315,1997,2007,1851
